KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000866001,T000866002,T000866003,T000866004,T000866005,T000866006,T000866007,T000866008,T000866009,T000866010,T000866011,T000866012,T000866013
,,,,,,,総数,Ａ　管理的職業従事者,Ｂ　専門的・技術的職業従事者,Ｃ　事務従事者,Ｄ　販売従事者,Ｅ　サービス職業従事者,Ｆ　保安職業従事者,Ｇ　農林漁業従事者,Ｈ　生産工程従事者,Ｉ　輸送・機械運転従事者,Ｊ　建設・採掘従事者,Ｋ　運搬・清掃・包装等従事者,Ｌ　分類不能の職業
1101120306,3,札幌市中央区,宮の森三条６丁目,0,,,285,8,71,67,55,27,5,1,11,2,8,9,21
1101120307,3,札幌市中央区,宮の森三条７丁目,0,,,307,26,83,80,59,24,2,-,7,-,3,14,9
1101120308,3,札幌市中央区,宮の森三条８丁目,0,,,84,10,23,19,9,8,1,-,5,1,-,2,6
1101120309,3,札幌市中央区,宮の森三条９丁目,0,,,83,4,25,13,12,9,-,-,5,-,1,4,10
1101120310,3,札幌市中央区,宮の森三条１０丁目,0,,,224,12,81,40,26,25,1,1,7,5,2,6,18
1101120311,3,札幌市中央区,宮の森三条１１丁目,0,,,93,15,23,24,12,6,1,-,1,1,3,2,5
1101120312,3,札幌市中央区,宮の森三条１２丁目,0,,,113,14,42,25,13,12,-,1,2,-,-,1,3
1101120313,3,札幌市中央区,宮の森三条１３丁目,0,,,70,20,22,9,8,3,-,-,1,1,2,1,3
11011204,2,札幌市中央区,宮の森四条,0,,,1496,103,413,371,206,150,13,-,67,28,24,49,72
1101120401,3,札幌市中央区,宮の森四条１丁目,0,,,31,-,2,5,3,3,1,-,4,5,1,2,5
1101120402,3,札幌市中央区,宮の森四条２丁目,0,,,175,6,30,80,17,21,-,-,5,3,1,7,5
1101120403,3,札幌市中央区,宮の森四条３丁目,0,,,105,7,24,22,20,9,4,-,9,2,2,2,4
1101120404,3,札幌市中央区,宮の森四条４丁目,0,,,114,8,30,30,21,8,1,-,7,-,2,4,3
1101120405,3,札幌市中央区,宮の森四条５丁目,0,,,171,6,44,37,27,26,-,-,7,2,3,4,15
1101120406,3,札幌市中央区,宮の森四条６丁目,0,,,57,4,15,14,9,4,-,-,4,-,3,2,2
1101120407,3,札幌市中央区,宮の森四条７丁目,0,,,110,2,31,24,12,15,2,-,11,2,-,6,5
1101120408,3,札幌市中央区,宮の森四条８丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
1101120409,3,札幌市中央区,宮の森四条９丁目,0,,,91,-,19,41,14,6,-,-,-,-,-,3,8
1101120410,3,札幌市中央区,宮の森四条１０丁目,0,,,157,18,54,20,26,13,-,-,6,1,6,8,5
1101120411,3,札幌市中央区,宮の森四条１１丁目,0,,,224,14,57,49,34,28,2,-,12,9,4,7,8
1101120412,3,札幌市中央区,宮の森四条１２丁目,0,,,184,20,84,31,17,10,2,-,2,2,2,3,11
1101120413,3,札幌市中央区,宮の森四条１３丁目,0,,,77,18,23,18,6,7,1,-,-,2,-,1,1
11011300,2,札幌市中央区,双子山,0,,,309,18,91,60,45,24,2,-,13,6,4,13,33
1101130001,3,札幌市中央区,双子山１丁目,0,,,145,5,45,27,22,15,1,-,6,3,1,9,11
1101130002,3,札幌市中央区,双子山２丁目,0,,,93,9,26,23,10,3,1,-,1,1,2,2,15
1101130003,3,札幌市中央区,双子山３丁目,0,,,63,3,16,10,12,6,-,-,6,2,1,2,5
1101130004,3,札幌市中央区,双子山４丁目,0,,,8,1,4,-,1,-,-,-,-,-,-,-,2
11011400,2,札幌市中央区,界川,0,,,306,38,91,54,37,38,-,2,12,2,8,3,21
1101140001,3,札幌市中央区,界川１丁目,0,,,57,7,13,11,10,7,-,-,5,1,1,1,1
1101140002,3,札幌市中央区,界川２丁目,0,,,105,15,32,22,7,14,-,1,1,1,3,-,9
1101140003,3,札幌市中央区,界川３丁目,0,,,144,16,46,21,20,17,-,1,6,-,4,2,11
1101140004,3,札幌市中央区,界川４丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
11011500,2,札幌市中央区,旭ケ丘,0,,,464,47,144,99,62,38,3,-,12,6,9,19,25
1101150001,3,札幌市中央区,旭ケ丘１丁目,0,,,197,17,61,44,25,19,1,-,4,4,5,8,9
1101150002,3,札幌市中央区,旭ケ丘２丁目,0,,,34,3,14,5,5,1,-,-,1,-,-,2,3
1101150003,3,札幌市中央区,旭ケ丘３丁目,0,,,114,13,27,25,20,11,-,-,3,2,3,2,8
1101150004,3,札幌市中央区,旭ケ丘４丁目,0,,,48,7,12,11,4,5,1,-,2,-,-,2,4
1101150005,3,札幌市中央区,旭ケ丘５丁目,0,,,59,5,25,11,8,2,1,-,1,-,1,4,1
1101150006,3,札幌市中央区,旭ケ丘６丁目,0,,,12,2,5,3,-,-,-,-,1,-,-,1,-
11011600,2,札幌市中央区,伏見,0,,,521,67,165,93,59,67,6,1,15,5,2,14,27
1101160001,3,札幌市中央区,伏見１丁目,0,,,95,9,26,20,11,17,1,-,6,1,-,1,3
1101160002,3,札幌市中央区,伏見２丁目,0,,,131,25,42,21,11,15,1,1,2,1,-,5,7
1101160003,3,札幌市中央区,伏見３丁目,0,,,192,29,74,32,22,18,3,-,6,1,1,1,5
1101160004,3,札幌市中央区,伏見４丁目,0,,,70,3,16,14,12,13,1,-,-,-,1,5,5
1101160005,3,札幌市中央区,伏見５丁目,0,,,33,1,7,6,3,4,-,-,1,2,-,2,7
11011700,2,札幌市中央区,円山西町,0,,,1320,90,356,255,196,156,17,6,47,27,25,62,83
1101170001,3,札幌市中央区,円山西町１丁目,0,,,220,14,62,38,39,30,6,-,3,2,2,12,12
1101170002,3,札幌市中央区,円山西町２丁目,0,,,194,16,60,31,28,25,4,1,9,2,3,9,6
1101170003,3,札幌市中央区,円山西町３丁目,0,,,167,8,52,38,15,17,2,-,9,2,2,9,13
1101170004,3,札幌市中央区,円山西町４丁目,0,,,82,11,16,17,10,9,-,1,4,2,1,5,6
1101170005,3,札幌市中央区,円山西町５丁目,0,,,182,10,48,39,27,19,2,2,5,6,3,7,14
1101170006,3,札幌市中央区,円山西町６丁目,0,,,38,7,3,9,5,4,-,-,1,2,1,4,2
1101170007,3,札幌市中央区,円山西町７丁目,0,,,86,9,21,17,12,10,-,1,3,-,4,4,5
1101170008,3,札幌市中央区,円山西町８丁目,0,,,128,6,43,20,16,13,1,-,7,3,2,8,9
1101170009,3,札幌市中央区,円山西町９丁目,0,,,154,5,25,28,32,26,1,1,4,7,7,4,14
1101170010,3,札幌市中央区,円山西町１０丁目,0,,,69,4,26,18,12,3,1,-,2,1,-,-,2
11011800,2,札幌市中央区,中島公園,2,690903,,X,X,X,X,X,X,X,X,X,X,X,X,X
11011900,2,札幌市中央区,宮ケ丘,0,,,307,34,99,73,44,21,1,1,2,3,-,4,25
1101190001,3,札幌市中央区,宮ケ丘１丁目,0,,,122,12,37,22,22,7,-,1,2,3,-,3,13
1101190002,3,札幌市中央区,宮ケ丘２丁目,0,,,106,9,39,33,13,8,1,-,-,-,-,1,2
1101190003,3,札幌市中央区,宮ケ丘３丁目,0,,,79,13,23,18,9,6,-,-,-,-,-,-,10
11012000,2,札幌市中央区,大通東,0,,,1386,58,313,319,227,157,12,1,63,13,11,44,168
1101200001,3,札幌市中央区,大通東１丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
1101200002,3,札幌市中央区,大通東２丁目,0,,,110,12,38,27,16,2,1,-,1,-,2,3,8
1101200003,3,札幌市中央区,大通東３丁目,0,,,168,4,29,32,39,11,-,-,10,3,1,3,36
1101200004,3,札幌市中央区,大通東４丁目,0,,,166,3,34,38,28,39,-,-,6,-,-,1,17
1101200005,3,札幌市中央区,大通東５丁目,0,,,94,2,18,18,18,9,-,-,3,-,2,5,19
1101200006,3,札幌市中央区,大通東６丁目,0,,,81,4,28,20,12,6,-,-,1,-,-,1,9
1101200007,3,札幌市中央区,大通東７丁目,0,,,144,4,25,35,29,17,-,-,9,2,-,4,19
1101200008,3,札幌市中央区,大通東８丁目,0,,,231,9,45,57,26,27,3,-,13,6,2,9,34
1101200009,3,札幌市中央区,大通東９丁目,0,,,133,7,37,35,17,16,3,1,5,1,-,3,8
1101200010,3,札幌市中央区,大通東１０丁目,0,,,178,10,45,40,29,21,5,-,8,-,2,10,8
1101200011,3,札幌市中央区,大通東１１丁目,0,,,53,2,13,12,7,8,-,-,3,-,1,1,6
1101200012,3,札幌市中央区,大通東１２丁目,0,,,28,1,1,5,6,1,-,-,4,1,1,4,4
1101200013,3,札幌市中央区,大通東１３丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
1101200014,3,札幌市中央区,大通東１４丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
11012100,2,札幌市中央区,大通西,0,,,2900,135,716,698,416,291,23,2,79,18,21,57,444
1101210001,3,札幌市中央区,大通西１丁目,1,,210002,-,-,-,-,-,-,-,-,-,-,-,-,-
