KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000865001,T000865002,T000865003,T000865004,T000865005,T000865006,T000865007,T000865008,T000865009,T000865010,T000865011,T000865012,T000865013,T000865014,T000865015,T000865016,T000865017,T000865018,T000865019,T000865020,T000865021,T000865022,T000865023,T000865024,T000865025
,,,,,,,総数,Ａ　農業、林業,　うち農業,Ｂ　漁業,Ｃ　鉱業、採石業、砂利採取業,Ｄ　建設業,Ｅ　製造業,Ｆ　電気・ガス・熱供給・水道業,Ｇ　情報通信業,Ｈ　運輸業、郵便業,Ｉ　卸売業、小売業,Ｊ　金融業、保険業,Ｋ　不動産業、物品賃貸業,Ｌ　学術研究、専門・技術サービス業,Ｍ　宿泊業、飲食サービス業,Ｎ　生活関連サービス業、娯楽業,Ｏ　教育、学習支援業,Ｐ　医療、福祉,Ｑ　複合サービス事業,Ｒ　サービス業（他に分類されないもの）,Ｓ　公務（他に分類されるものを除く）,Ｔ　分類不能の産業,雇用者（役員を含む）,自営業主（家庭内職者を含む）,家族従業者
1204106022,3,旭川市,六条通２２丁目,0,,,38,-,-,-,-,3,6,-,-,1,6,1,-,3,1,1,3,7,-,-,3,3,35,-,-
1204106023,3,旭川市,六条通２３丁目,0,,,64,-,-,-,-,2,12,-,-,1,10,6,-,2,2,1,4,10,-,6,5,3,58,3,-
1204106024,3,旭川市,六条通２４丁目,0,,,81,-,-,-,-,5,5,1,1,1,18,2,3,1,8,9,2,16,2,4,1,2,67,8,2
1204106025,3,旭川市,六条通２５丁目,0,,,17,-,-,-,-,1,1,-,1,-,1,-,4,-,1,2,-,2,-,1,-,3,14,-,-
12041070,2,旭川市,七条通,0,,,881,8,6,-,-,53,50,6,13,27,149,44,29,21,95,39,52,142,10,51,44,48,738,85,18
1204107001,3,旭川市,七条通１丁目,0,,,35,-,-,-,-,4,-,-,1,1,4,4,2,-,3,3,1,9,2,1,-,-,31,4,-
1204107002,3,旭川市,七条通２丁目,0,,,27,2,2,-,-,3,2,-,-,-,3,1,-,1,4,-,-,6,-,4,-,1,26,-,-
1204107003,3,旭川市,七条通３丁目,0,,,7,-,-,-,-,-,-,-,-,1,1,2,-,1,-,1,-,1,-,-,-,-,7,-,-
1204107004,3,旭川市,七条通４丁目,0,,,53,-,-,-,-,1,2,-,1,1,7,5,1,-,7,-,4,15,1,5,3,-,45,6,2
1204107005,3,旭川市,七条通５丁目,0,,,78,2,-,-,-,2,1,-,4,2,10,2,-,3,14,6,4,14,1,5,2,6,64,8,1
1204107006,3,旭川市,七条通６丁目,0,,,105,1,1,-,-,2,2,1,2,2,23,7,1,4,12,7,11,11,-,11,2,6,81,18,4
1204107007,3,旭川市,七条通７丁目,0,,,53,-,-,-,-,-,-,-,-,-,7,5,3,1,16,4,2,6,-,1,2,6,33,9,6
1204107008,3,旭川市,七条通８丁目,0,,,42,-,-,-,-,2,1,-,1,1,2,2,3,1,11,2,-,8,-,2,2,4,27,12,2
1204107011,3,旭川市,七条通１１丁目,0,,,19,-,-,-,-,-,2,-,1,1,1,-,-,-,1,1,8,1,-,-,3,-,19,-,-
1204107013,3,旭川市,七条通１３丁目,0,,,24,-,-,-,-,5,1,1,1,1,4,-,3,-,2,1,-,1,-,1,1,2,21,2,-
1204107014,3,旭川市,七条通１４丁目,0,,,6,-,-,-,-,1,1,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,5,1,-
1204107015,3,旭川市,七条通１５丁目,0,,,28,-,-,-,-,1,1,-,1,1,12,2,-,-,2,1,1,4,-,2,-,-,25,2,1
1204107016,3,旭川市,七条通１６丁目,0,,,15,-,-,-,-,-,2,-,-,-,7,-,-,-,-,-,-,2,-,2,-,2,13,1,-
1204107017,3,旭川市,七条通１７丁目,0,,,72,-,-,-,-,2,3,-,-,1,12,2,4,2,2,1,6,17,-,-,14,6,62,4,1
1204107018,3,旭川市,七条通１８丁目,0,,,15,-,-,-,-,2,2,-,-,1,5,-,1,-,1,2,1,-,-,-,-,-,13,2,-
1204107019,3,旭川市,七条通１９丁目,0,,,47,1,1,-,-,2,-,2,-,1,10,1,2,1,2,2,4,10,-,4,4,1,41,3,-
1204107020,3,旭川市,七条通２０丁目,0,,,53,-,-,-,-,4,9,-,-,2,11,2,-,2,2,1,1,4,3,4,5,3,45,4,1
1204107021,3,旭川市,七条通２１丁目,0,,,45,-,-,-,-,3,5,-,-,6,2,1,2,1,5,3,5,5,-,4,3,-,43,2,-
1204107022,3,旭川市,七条通２２丁目,0,,,61,-,-,-,-,5,8,-,-,2,15,3,3,3,3,1,3,5,1,4,1,4,54,1,-
1204107023,3,旭川市,七条通２３丁目,0,,,44,1,1,-,-,4,3,1,-,2,7,3,1,1,4,2,-,7,2,1,1,4,40,2,-
1204107024,3,旭川市,七条通２４丁目,0,,,52,1,1,-,-,10,5,1,-,1,5,-,3,-,4,1,1,16,-,-,1,3,43,4,-
12041080,2,旭川市,八条通,0,,,855,4,4,-,-,57,58,6,9,16,138,27,23,16,61,38,42,127,9,55,123,46,749,56,16
1204108001,3,旭川市,八条通１丁目,0,,,47,-,-,-,-,2,1,1,-,1,7,2,3,2,1,2,5,12,1,2,4,1,42,4,-
1204108002,3,旭川市,八条通２丁目,0,,,6,-,-,-,-,-,2,-,-,1,-,-,-,1,-,-,-,2,-,-,-,-,3,2,1
1204108005,3,旭川市,八条通５丁目,1,,108006,8,-,-,-,-,-,-,-,-,1,1,-,3,1,-,1,-,-,-,-,1,-,8,-,-
1204108006,3,旭川市,八条通６丁目,2,108005,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1204108007,3,旭川市,八条通７丁目,0,,,34,-,-,-,-,1,1,-,-,-,11,-,1,-,9,-,-,3,2,3,-,3,24,4,3
1204108008,3,旭川市,八条通８丁目,0,,,62,-,-,-,-,5,2,-,2,-,11,4,1,2,11,3,1,9,1,2,1,7,51,6,-
1204108009,3,旭川市,八条通９丁目,0,,,26,-,-,-,-,1,3,-,1,2,3,1,2,-,2,2,-,3,-,1,2,3,23,-,-
1204108010,3,旭川市,八条通１０丁目,0,,,23,-,-,-,-,2,3,-,1,-,1,1,1,-,2,1,-,2,-,5,-,4,13,6,-
1204108011,3,旭川市,八条通１１丁目,0,,,18,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,4,8,-,1,2,-,18,-,-
1204108012,3,旭川市,八条通１２丁目,0,,,35,-,-,-,-,2,3,1,-,-,2,1,2,2,-,-,1,13,1,-,7,-,31,2,2
1204108013,3,旭川市,八条通１３丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1204108014,3,旭川市,八条通１４丁目,0,,,85,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,81,1,84,-,1
1204108015,3,旭川市,八条通１５丁目,0,,,28,-,-,-,-,-,2,-,-,2,7,1,-,3,-,2,3,3,1,1,-,3,20,5,1
1204108016,3,旭川市,八条通１６丁目,0,,,22,-,-,-,-,3,5,-,-,1,6,-,-,-,-,-,-,2,-,3,1,1,18,2,1
1204108017,3,旭川市,八条通１７丁目,0,,,22,-,-,-,-,5,-,-,-,-,2,2,-,-,1,5,3,2,-,1,-,1,21,1,-
1204108018,3,旭川市,八条通１８丁目,0,,,31,1,1,-,-,-,-,-,1,-,11,-,1,-,6,1,1,5,-,3,-,1,30,-,-
1204108019,3,旭川市,八条通１９丁目,0,,,46,-,-,-,-,6,6,2,-,1,3,3,-,1,2,2,1,9,1,4,4,1,44,1,-
1204108020,3,旭川市,八条通２０丁目,0,,,91,-,-,-,-,13,12,-,1,2,23,4,-,1,3,5,-,13,-,4,6,4,80,6,3
1204108021,3,旭川市,八条通２１丁目,0,,,33,-,-,-,-,2,3,-,1,-,4,-,4,-,4,6,4,1,-,-,3,1,25,6,2
1204108022,3,旭川市,八条通２２丁目,0,,,68,-,-,-,-,4,3,-,1,-,12,1,-,-,6,1,9,16,-,5,4,6,63,2,-
1204108023,3,旭川市,八条通２３丁目,0,,,115,2,2,-,-,7,6,2,-,2,21,2,3,1,11,7,7,15,2,16,5,6,102,6,2
1204108024,3,旭川市,八条通２４丁目,0,,,55,1,1,-,-,4,5,-,1,3,11,4,2,1,3,-,3,8,-,4,2,3,49,3,-
12041090,2,旭川市,九条通,0,,,854,3,2,-,-,60,58,7,15,25,142,49,29,32,63,42,38,144,9,60,40,38,702,86,35
1204109001,3,旭川市,九条通１丁目,0,,,70,1,1,-,-,8,3,-,2,-,14,4,2,3,4,1,5,13,-,8,-,2,53,10,4
1204109002,3,旭川市,九条通２丁目,0,,,58,-,-,-,-,3,3,-,3,3,9,1,6,4,8,1,2,10,-,4,1,-,50,6,2
1204109007,3,旭川市,九条通７丁目,0,,,33,-,-,-,-,4,2,-,1,3,4,3,2,-,6,3,1,2,-,1,1,-,27,4,2
1204109008,3,旭川市,九条通８丁目,0,,,9,-,-,-,-,-,-,-,-,-,-,2,-,-,-,3,1,2,-,-,1,-,5,3,1
1204109009,3,旭川市,九条通９丁目,0,,,62,-,-,-,-,1,4,-,1,1,9,4,2,5,6,11,1,7,-,3,2,5,45,8,4
1204109010,3,旭川市,九条通１０丁目,0,,,14,-,-,-,-,-,2,-,-,-,1,1,2,3,1,-,3,1,-,-,-,-,8,5,1
1204109011,3,旭川市,九条通１１丁目,0,,,25,1,1,-,-,1,-,-,-,1,-,9,3,1,4,-,1,2,-,1,1,-,20,3,2
1204109012,3,旭川市,九条通１２丁目,0,,,43,-,-,-,-,3,-,-,-,2,11,2,-,2,5,1,2,5,1,1,6,2,36,3,2
1204109013,3,旭川市,九条通１３丁目,0,,,20,-,-,-,-,-,-,-,-,1,3,-,-,3,2,3,1,5,-,-,2,-,13,4,3
1204109014,3,旭川市,九条通１４丁目,0,,,37,-,-,-,-,4,1,-,-,-,8,3,2,2,4,1,1,2,-,3,3,3,23,8,4
1204109015,3,旭川市,九条通１５丁目,0,,,45,-,-,-,-,2,3,3,1,1,6,2,1,-,6,1,-,12,-,3,1,3,36,4,2
1204109016,3,旭川市,九条通１６丁目,0,,,43,1,-,-,-,1,5,-,-,3,6,4,1,-,2,1,2,7,-,2,6,2,38,2,1
1204109017,3,旭川市,九条通１７丁目,1,,109018,39,-,-,-,-,-,5,1,-,-,10,-,1,-,-,2,1,5,-,7,6,1,34,2,3
1204109018,3,旭川市,九条通１８丁目,2,109017,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1204109019,3,旭川市,九条通１９丁目,0,,,25,-,-,-,-,1,4,-,1,2,5,-,-,-,3,1,2,1,1,3,-,1,22,2,-
1204109020,3,旭川市,九条通２０丁目,0,,,73,-,-,-,-,11,6,-,-,1,13,4,1,2,-,4,3,16,-,7,2,3,61,8,2
1204109021,3,旭川市,九条通２１丁目,0,,,49,-,-,-,-,2,1,-,1,2,10,2,-,3,-,2,1,14,-,5,2,4,43,2,-
1204109022,3,旭川市,九条通２２丁目,0,,,105,-,-,-,-,9,12,1,2,4,13,5,4,2,6,3,7,15,3,5,6,8,93,6,1
1204109023,3,旭川市,九条通２３丁目,0,,,104,-,-,-,-,10,7,2,3,1,20,3,2,2,6,4,4,25,4,7,-,4,95,6,1
12041100,2,旭川市,十条通,0,,,527,3,2,-,-,39,38,7,10,15,93,26,9,11,31,18,24,99,8,38,29,29,455,39,11
1204110008,3,旭川市,十条通８丁目,0,,,35,-,-,-,-,2,5,-,-,-,6,1,1,1,4,2,-,4,1,6,2,-,29,5,1
1204110009,3,旭川市,十条通９丁目,0,,,96,-,-,-,-,6,1,3,5,1,15,10,1,-,3,3,2,21,-,8,8,9,90,1,-
1204110010,3,旭川市,十条通１０丁目,0,,,11,-,-,-,-,1,2,-,-,1,3,-,-,1,-,-,-,-,-,2,-,1,11,-,-
1204110011,3,旭川市,十条通１１丁目,0,,,9,-,-,-,-,1,-,-,-,-,1,-,1,-,1,-,1,2,-,1,-,1,8,-,-
1204110012,3,旭川市,十条通１２丁目,0,,,48,-,-,-,-,3,3,2,2,-,5,3,1,-,2,1,7,13,-,2,4,-,45,1,2
1204110013,3,旭川市,十条通１３丁目,0,,,64,-,-,-,-,7,5,1,2,1,10,1,1,1,5,1,1,13,-,-,5,10,48,5,1
1204110014,3,旭川市,十条通１４丁目,0,,,49,-,-,-,-,3,3,-,-,1,8,4,-,2,3,4,2,9,1,4,1,4,42,3,2
1204110015,3,旭川市,十条通１５丁目,0,,,11,-,-,-,-,-,1,-,1,1,3,-,-,1,-,1,1,-,-,1,1,-,11,-,-
1204110016,3,旭川市,十条通１６丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1204110017,3,旭川市,十条通１７丁目,1,,110018,13,-,-,-,-,2,-,-,-,-,4,1,-,1,1,2,-,-,-,-,-,2,9,2,-
1204110018,3,旭川市,十条通１８丁目,2,110017,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1204110019,3,旭川市,十条通１９丁目,0,,,9,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,2,-,-,2,1,8,-,-
1204110020,3,旭川市,十条通２０丁目,0,,,24,1,1,-,-,3,1,1,-,1,5,1,1,-,-,-,-,6,3,1,-,-,23,1,-
1204110021,3,旭川市,十条通２１丁目,0,,,41,-,-,-,-,2,7,-,-,3,9,1,-,1,2,-,-,8,-,7,-,1,36,4,1
1204110022,3,旭川市,十条通２２丁目,0,,,80,2,1,-,-,4,5,-,-,4,16,2,1,3,9,2,7,16,1,4,4,-,65,11,4
1204110023,3,旭川市,十条通２３丁目,0,,,37,-,-,-,-,5,5,-,-,2,7,2,2,-,1,2,-,5,2,2,2,-,30,6,-
12041110,2,旭川市,十一条通,0,,,196,4,4,-,-,16,19,3,1,13,40,3,3,5,13,10,8,23,2,12,12,9,171,14,3
1204111019,3,旭川市,十一条通１９丁目,0,,,20,-,-,-,-,-,-,-,1,2,3,-,2,1,2,1,1,2,1,-,3,1,18,1,-
1204111020,3,旭川市,十一条通２０丁目,0,,,32,1,1,-,-,5,3,-,-,1,6,-,-,1,2,1,1,6,-,-,1,4,28,1,-
1204111021,3,旭川市,十一条通２１丁目,0,,,26,2,2,-,-,2,6,1,-,-,2,1,-,2,2,2,-,2,-,1,2,1,20,3,2
1204111022,3,旭川市,十一条通２２丁目,0,,,62,1,1,-,-,7,3,1,-,4,17,1,-,1,3,3,3,7,1,3,5,2,54,4,1
1204111023,3,旭川市,十一条通２３丁目,0,,,56,-,-,-,-,2,7,1,-,6,12,1,1,-,4,3,3,6,-,8,1,1,51,5,-
12041120,2,旭川市,二条西,0,,,142,1,1,-,-,5,3,-,3,5,24,3,3,3,18,6,8,32,-,13,3,12,119,14,-
1204112002,3,旭川市,二条西２丁目,0,,,18,-,-,-,-,1,1,-,-,1,5,-,-,-,3,1,1,1,-,3,-,1,15,1,-
1204112003,3,旭川市,二条西３丁目,0,,,14,-,-,-,-,-,1,-,-,-,-,1,-,1,2,-,2,3,-,1,1,2,12,2,-
1204112004,3,旭川市,二条西４丁目,0,,,110,1,1,-,-,4,1,-,3,4,19,2,3,2,13,5,5,28,-,9,2,9,92,11,-
12041130,2,旭川市,三条西,0,,,334,3,3,-,-,21,15,1,7,8,39,5,7,7,43,19,6,82,3,26,13,29,277,24,5
1204113001,3,旭川市,三条西１丁目,2,113002,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1204113002,3,旭川市,三条西２丁目,1,,113001,84,-,-,-,-,4,-,-,2,-,10,2,2,1,12,3,1,25,-,7,6,9,62,9,3
1204113003,3,旭川市,三条西３丁目,0,,,109,2,2,-,-,6,7,-,2,3,11,2,2,4,18,10,3,26,2,2,1,8,90,10,1
1204113004,3,旭川市,三条西４丁目,0,,,44,-,-,-,-,4,5,-,-,4,2,-,-,-,5,1,-,9,1,5,1,7,38,1,-
1204113005,3,旭川市,三条西５丁目,0,,,73,1,1,-,-,4,3,1,3,1,12,1,3,1,4,5,1,19,-,9,2,3,66,3,1
1204113006,3,旭川市,三条西６丁目,0,,,24,-,-,-,-,3,-,-,-,-,4,-,-,1,4,-,1,3,-,3,3,2,21,1,-
12041140,2,旭川市,四条西,0,,,200,1,1,-,-,12,19,-,1,3,28,3,5,8,22,10,10,39,1,10,17,11,162,23,5
1204114001,3,旭川市,四条西１丁目,0,,,60,-,-,-,-,3,7,-,1,-,8,-,-,1,7,5,3,10,-,2,9,4,50,7,-
1204114002,3,旭川市,四条西２丁目,1,,114003,37,1,1,-,-,2,3,-,-,-,7,-,-,-,2,2,2,10,-,2,5,1,32,3,1
1204114003,3,旭川市,四条西３丁目,2,114002,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1204114004,3,旭川市,四条西４丁目,0,,,21,-,-,-,-,2,1,-,-,1,1,-,1,4,8,1,-,-,-,-,1,1,13,5,2
1204114005,3,旭川市,四条西５丁目,0,,,25,-,-,-,-,-,1,-,-,-,5,2,1,1,1,-,2,9,1,1,-,1,22,2,-
1204114006,3,旭川市,四条西６丁目,0,,,25,-,-,-,-,1,3,-,-,1,2,-,1,2,1,2,2,4,-,2,-,4,18,3,-
1204114007,3,旭川市,四条西７丁目,0,,,14,-,-,-,-,1,3,-,-,-,1,1,-,-,1,-,-,6,-,-,1,-,10,2,2
1204114008,3,旭川市,四条西８丁目,0,,,8,-,-,-,-,1,-,-,-,-,1,-,2,-,1,-,-,-,-,2,1,-,8,-,-
1204114009,3,旭川市,四条西９丁目,0,,,10,-,-,-,-,2,1,-,-,1,3,-,-,-,1,-,1,-,-,1,-,-,9,1,-
12041150,2,旭川市,五条西,0,,,364,1,1,-,-,19,31,2,2,16,67,22,7,4,32,19,12,68,6,35,7,14,328,19,4
1204115001,3,旭川市,五条西１丁目,0,,,77,-,-,-,-,1,3,2,-,5,15,4,3,-,8,1,3,19,2,6,2,3,68,5,1
1204115002,3,旭川市,五条西２丁目,0,,,10,-,-,-,-,1,-,-,-,-,5,-,-,-,-,-,2,1,1,-,-,-,9,-,1
1204115003,3,旭川市,五条西３丁目,0,,,18,-,-,-,-,-,-,-,-,-,5,1,-,-,3,3,1,1,-,2,2,-,17,1,-
1204115004,3,旭川市,五条西４丁目,0,,,63,-,-,-,-,4,8,-,-,1,6,3,1,1,6,4,2,20,1,5,-,1,56,6,-
1204115005,3,旭川市,五条西５丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1204115006,3,旭川市,五条西６丁目,0,,,26,-,-,-,-,1,3,-,-,1,4,2,-,1,-,2,1,6,-,3,1,1,21,3,1
1204115007,3,旭川市,五条西７丁目,0,,,92,-,-,-,-,5,11,-,-,2,17,7,1,1,6,6,3,10,-,12,2,9,81,2,1
1204115008,3,旭川市,五条西８丁目,0,,,55,-,-,-,-,2,3,-,1,5,13,5,2,1,5,3,-,8,1,6,-,-,54,1,-
1204115009,3,旭川市,五条西９丁目,0,,,23,1,1,-,-,5,3,-,1,2,2,-,-,-,4,-,-,3,1,1,-,-,22,1,-
12041160,2,旭川市,六条西,0,,,299,1,-,-,-,22,8,1,4,11,55,13,8,3,24,13,15,62,2,24,23,10,258,19,9
1204116001,3,旭川市,六条西１丁目,0,,,56,-,-,-,-,2,2,-,-,2,10,1,1,-,5,2,3,13,2,4,6,3,49,3,1
1204116002,3,旭川市,六条西２丁目,0,,,37,-,-,-,-,1,1,1,-,1,10,2,2,1,5,1,1,7,-,3,1,-,34,3,-
1204116003,3,旭川市,六条西３丁目,0,,,53,-,-,-,-,6,2,-,1,1,9,4,1,1,3,1,1,9,-,7,3,4,46,2,1
1204116004,3,旭川市,六条西４丁目,0,,,43,-,-,-,-,3,-,-,2,2,8,2,1,-,4,2,3,12,-,2,2,-,37,2,2
1204116005,3,旭川市,六条西５丁目,0,,,26,1,-,-,-,-,1,-,1,3,2,3,-,-,-,2,1,2,-,3,7,-,20,3,3
1204116006,3,旭川市,六条西６丁目,0,,,32,-,-,-,-,2,1,-,-,1,7,-,-,-,2,3,3,5,-,3,3,2,25,2,2
1204116007,3,旭川市,六条西７丁目,0,,,30,-,-,-,-,4,1,-,-,1,5,1,3,-,1,1,3,8,-,1,-,1,26,3,-
1204116008,3,旭川市,六条西８丁目,0,,,22,-,-,-,-,4,-,-,-,-,4,-,-,1,4,1,-,6,-,1,1,-,21,1,-
12041170,2,旭川市,七条西,0,,,256,2,2,-,-,16,17,5,-,8,52,10,5,8,19,5,10,54,4,15,11,15,211,29,3
1204117001,3,旭川市,七条西１丁目,0,,,28,1,1,-,-,4,-,-,-,1,4,-,1,2,6,-,-,4,-,2,2,1,22,4,1
1204117002,3,旭川市,七条西２丁目,0,,,38,-,-,-,-,1,3,3,-,-,7,1,-,-,8,-,2,9,1,1,2,-,32,4,2
1204117003,3,旭川市,七条西３丁目,0,,,32,-,-,-,-,1,3,-,-,-,7,4,2,3,-,-,2,7,1,-,-,2,27,3,-
1204117004,3,旭川市,七条西４丁目,0,,,61,1,1,-,-,1,6,1,-,3,13,2,-,1,4,3,1,11,-,7,2,5,47,8,-
1204117005,3,旭川市,七条西５丁目,0,,,41,-,-,-,-,1,3,-,-,2,13,-,1,2,1,1,3,4,-,2,5,3,34,5,-
1204117006,3,旭川市,七条西６丁目,0,,,52,-,-,-,-,7,2,-,-,2,8,3,1,-,-,1,2,17,2,3,-,4,45,5,-
1204117007,3,旭川市,七条西７丁目,0,,,4,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,4,-,-
12041180,2,旭川市,八条西,0,,,161,1,1,-,-,6,7,3,3,3,33,7,6,6,10,6,11,35,1,10,9,4,144,11,2
1204118001,3,旭川市,八条西１丁目,0,,,25,-,-,-,-,-,1,1,-,-,5,2,2,1,1,1,3,5,-,2,1,-,23,2,-
1204118002,3,旭川市,八条西２丁目,0,,,15,-,-,-,-,-,-,-,1,-,3,-,1,-,4,1,1,2,-,1,1,-,12,2,1
1204118003,3,旭川市,八条西３丁目,0,,,40,-,-,-,-,4,1,-,2,1,6,1,1,2,2,1,3,9,-,2,3,2,35,3,-
1204118004,3,旭川市,八条西４丁目,0,,,33,-,-,-,-,1,2,2,-,-,6,2,2,-,1,2,1,10,-,-,3,1,28,3,1
1204118005,3,旭川市,八条西５丁目,0,,,30,1,1,-,-,1,3,-,-,1,9,1,-,1,-,-,3,7,1,1,1,-,29,1,-
1204118006,3,旭川市,八条西６丁目,0,,,18,-,-,-,-,-,-,-,-,1,4,1,-,2,2,1,-,2,-,4,-,1,17,-,-
12041190,2,旭川市,九条西,0,,,126,2,2,-,-,10,6,-,3,8,22,5,1,3,20,5,2,16,3,9,3,8,107,8,1
1204119001,3,旭川市,九条西１丁目,0,,,42,-,-,-,-,2,1,-,1,2,8,2,-,-,7,2,-,7,3,3,-,4,34,2,-
1204119002,3,旭川市,九条西２丁目,0,,,60,2,2,-,-,3,4,-,2,6,10,2,-,3,8,2,2,8,-,3,1,4,51,5,1
1204119003,3,旭川市,九条西３丁目,1,,119004,24,-,-,-,-,5,1,-,-,-,4,1,1,-,5,1,-,1,-,3,2,-,22,1,-
1204119004,3,旭川市,九条西４丁目,2,119003,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12041410,2,旭川市,曙一条,0,,,306,3,2,-,1,14,16,2,-,18,50,9,9,10,19,13,7,71,2,23,9,30,254,24,6
1204141001,3,旭川市,曙一条１丁目,2,141003,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1204141002,3,旭川市,曙一条２丁目,2,141003,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1204141003,3,旭川市,曙一条３丁目,1,,141001;141002,34,-,-,-,-,-,1,1,-,2,5,-,2,-,3,3,-,6,-,2,3,6,24,5,1
1204141004,3,旭川市,曙一条４丁目,0,,,85,1,-,-,1,5,4,-,-,4,21,2,1,1,4,1,3,25,-,7,2,3,81,3,-
1204141005,3,旭川市,曙一条５丁目,0,,,58,-,-,-,-,2,3,1,-,4,5,3,-,3,1,3,1,17,-,5,3,7,45,4,2
1204141006,3,旭川市,曙一条６丁目,0,,,65,1,1,-,-,2,2,-,-,4,5,3,3,4,7,4,1,13,2,4,-,10,51,5,2
1204141007,3,旭川市,曙一条７丁目,0,,,31,-,-,-,-,2,5,-,-,2,6,-,2,1,3,2,1,1,-,3,-,3,23,5,1
1204141008,3,旭川市,曙一条８丁目,0,,,33,1,1,-,-,3,1,-,-,2,8,1,1,1,1,-,1,9,-,2,1,1,30,2,-
12041420,2,旭川市,曙二条,0,,,195,1,1,-,-,9,19,2,-,12,35,6,8,5,20,8,5,35,2,15,7,6,165,20,8
1204142003,3,旭川市,曙二条３丁目,0,,,21,-,-,-,-,-,1,-,-,1,4,-,1,1,1,2,1,4,-,1,3,1,17,3,-
1204142004,3,旭川市,曙二条４丁目,0,,,49,-,-,-,-,2,9,-,-,6,9,1,1,2,2,2,-,8,1,5,1,-,48,1,-
1204142005,3,旭川市,曙二条５丁目,0,,,34,1,1,-,-,1,-,-,-,-,9,2,4,1,8,1,1,4,-,1,1,-,23,7,4
1204142006,3,旭川市,曙二条６丁目,0,,,44,-,-,-,-,1,3,1,-,3,7,2,1,-,7,1,-,8,1,8,-,1,34,6,3
1204142007,3,旭川市,曙二条７丁目,0,,,13,-,-,-,-,3,1,1,-,1,2,-,-,1,1,2,-,1,-,-,-,-,11,1,1
1204142008,3,旭川市,曙二条８丁目,0,,,34,-,-,-,-,2,5,-,-,1,4,1,1,-,1,-,3,10,-,-,2,4,32,2,-
12041430,2,旭川市,曙三条,0,,,193,4,2,-,-,16,9,-,1,5,51,6,5,5,17,7,7,28,1,17,7,7,170,11,4
1204143001,3,旭川市,曙三条１丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1204143002,3,旭川市,曙三条２丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1204143003,3,旭川市,曙三条３丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1204143004,3,旭川市,曙三条４丁目,0,,,25,-,-,-,-,2,1,-,-,1,5,1,-,-,2,-,3,4,-,-,1,5,19,1,-
1204143005,3,旭川市,曙三条５丁目,0,,,61,1,1,-,-,3,4,-,1,3,22,1,-,2,3,2,1,11,-,5,2,-,48,6,4
1204143006,3,旭川市,曙三条６丁目,0,,,52,1,-,-,-,5,4,-,-,1,11,1,4,1,7,4,1,4,-,5,1,2,51,1,-
1204143007,3,旭川市,曙三条７丁目,0,,,55,2,1,-,-,6,-,-,-,-,13,3,1,2,5,1,2,9,1,7,3,-,52,3,-
12041520,2,旭川市,曙北二条,0,,,79,-,-,-,-,4,5,2,-,3,9,3,2,2,7,5,1,22,1,3,1,9,58,9,4
1204152005,3,旭川市,曙北二条５丁目,0,,,7,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,4,-,-,-,1,6,-,-
1204152006,3,旭川市,曙北二条６丁目,0,,,27,-,-,-,-,1,1,-,-,1,6,2,1,-,5,1,-,5,1,2,-,1,21,2,3
1204152007,3,旭川市,曙北二条７丁目,0,,,17,-,-,-,-,2,1,-,-,1,-,-,-,2,1,3,-,5,-,-,-,2,10,5,1
1204152008,3,旭川市,曙北二条８丁目,0,,,28,-,-,-,-,1,2,2,-,1,3,1,-,-,1,1,1,8,-,1,1,5,21,2,-
